DESCRIPTION,SHOWROOM COLOR,ALGO HEXA1,ALGO CONFUSED1,ALGO PRECISE1,ALGO HEXA2,ALGO CONFUSED2,ALGO PRECISE2,ALGO HEXA3,ALGO CONFUSED3,ALGO PRECISE3,ALGO HEXA4,ALGO CONFUSED4,ALGO PRECISE4,ALGO HEXA5,ALGO CONFUSED5,ALGO PRECISE5
Robe volantée   Vert d'eau, vert d'eau  ,#a4f0ec,Silver,PaleTurquoise,#aef2f0,Silver,PaleTurquoise,#96ede9,Silver,PaleTurquoise,#b1f3f0,Silver,PaleTurquoise,,,
Robe volantée   Vert d'eau, vert d'eau  ,#a4f0ec,Silver,PaleTurquoise,#aef2f0,Silver,PaleTurquoise,#96ede9,Silver,PaleTurquoise,#b1f3f0,Silver,PaleTurquoise,,,
Robe volantée   Vert d'eau, vert d'eau  ,#a4f0ec,Silver,PaleTurquoise,#aef2f0,Silver,PaleTurquoise,#96ede9,Silver,PaleTurquoise,#b1f3f0,Silver,PaleTurquoise,,,
Robe fourreau motifs fantaisie   Bleu marine, bleu marine et blanc  ,#e6c9b2,Silver,LightPink,#989cb7,Silver,DarkGrey,#8c889b,Gray,Grey,#e5cebf,Silver,LightGrey,,,
Robe fourreau   Bleu marine, bleu marine et argenté  ,#2f336b,Teal,MidnightBlue,#5069a8,Gray,RoyalBlue,#ebd8c1,Silver,Moccasin,,,,,,
Robe fourreau   Bleu marine, bleu marine et argenté  ,#2f336b,Teal,MidnightBlue,#5069a8,Gray,RoyalBlue,#ebd8c1,Silver,Moccasin,,,,,,
Robe fourreau   Bleu marine, bleu marine et argenté  ,#2f336b,Teal,MidnightBlue,#5069a8,Gray,RoyalBlue,#ebd8c1,Silver,Moccasin,,,,,,
Robe longue   Rose pâle, rose pâle  ,#dcb7a0,Silver,Tan,#e8c8b5,Silver,LightPink,#f1d8d4,Silver,Beige,,,,,,
Robe longue   Rose pâle, rose pâle  ,#dcb7a0,Silver,Tan,#e8c8b4,Silver,LightPink,#f1d8d4,Silver,Beige,,,,,,
Robe fourreau   Noir, noir  ,#322c2d,Black,MidnightBlue,#2e292b,Black,MidnightBlue,#373134,Black,MidnightBlue,#2e2a2b,Black,MidnightBlue,,,
Robe fourreau   Noir, noir  ,#322c2d,Black,MidnightBlue,#2e282b,Black,MidnightBlue,#373134,Black,MidnightBlue,#2e2a2b,Black,MidnightBlue,,,
Robe patineuse en guipure   Noir, noir  ,#2b2729,Black,Black,#332d2f,Black,MidnightBlue,#312a2c,Black,MidnightBlue,#363335,Black,MidnightBlue,,,
Robe patineuse en guipure   Noir, noir  ,#2b2729,Black,Black,#332d2f,Black,MidnightBlue,#312a2c,Black,MidnightBlue,#363335,Black,MidnightBlue,,,
Robe patineuse en guipure   Noir, noir  ,#2b2729,Black,Black,#332d2f,Black,MidnightBlue,#312a2c,Black,MidnightBlue,#363335,Black,MidnightBlue,,,
Robe bustier   Ecru, écru  ,#efccb4,Silver,Moccasin,#eec8a4,Silver,Moccasin,#ddb598,Silver,Tan,#f1f0ed,White,Cream,,,
Robe à sequins   Doré et bleu, doré,#1a7274,Teal,Teal,#5f9997,Gray,Grey,#d5c8ba,Silver,Silver,#cfc7ae,Silver,Silver,,,
Robe à sequins   Doré et bleu, doré,#1a7274,Teal,Teal,#5f9a97,Gray,Grey,#d5c8ba,Silver,Silver,#cfc7ae,Silver,Silver,,,
Robe à sequins   Doré et bleu, doré,#1a7274,Teal,Teal,#5f9997,Gray,Grey,#d5c8ba,Silver,Silver,#cfc7ae,Silver,Silver,,,
Robe patineuse   Orange, orange  ,#f5892b,Orange,Coral,#fc9226,Orange,DarkOrange,#ebc8b0,Silver,LightPink,#fc8d26,Orange,DarkOrange,,,
Robe chemise   Bleu marine, bleu marine  ,#353866,Teal,MidnightBlue,#373a6a,Teal,MidnightBlue,#373a6a,Teal,MidnightBlue,#252a51,Black,MidnightBlue,,,
Robe fourreau   Bordeaux, bordeaux  ,#ad2534,Gray,Brown,#b82a3a,Gray,Brown,#bf313e,Gray,Brown,#eaccb1,Silver,Moccasin,,,
Robe fourreau   Bordeaux, bordeaux  ,#ad2534,Gray,Brown,#b82a3a,Gray,Brown,#bf313e,Gray,Brown,#eaccb1,Silver,Moccasin,,,
Robe patineuse en guipure   Blanc, blanc  ,#e6c6ab,Silver,LightPink,#ebcdb6,Silver,Moccasin,#dcc7b4,Silver,Silver,#e7c3a7,Silver,Tan,,,
Robe patineuse en guipure   Blanc, blanc  ,#e6c6ab,Silver,LightPink,#ebcdb6,Silver,Moccasin,#e7cbb0,Silver,Moccasin,#e7c3a7,Silver,Tan,,,
Robe fourreau   Indigo, indigo  ,#475a9d,Gray,DimGrey,#5469ad,Gray,RoyalBlue,#465aa1,Gray,RoyalBlue,#425584,Gray,DimGrey,,,
Robe plissée   Noir et blanc, noir et blanc  ,#383537,Black,MidnightBlue,#e6cbb6,Silver,Pink,#342e2f,Black,MidnightBlue,#383332,Black,MidnightBlue,,,
Robe patineuse   Noir, noir,#3a3538,Black,MidnightBlue,#312a2b,Black,MidnightBlue,#372e2e,Black,MidnightBlue,#343237,Black,MidnightBlue,,,
Robe patineuse   Noir, noir,#3a3538,Black,MidnightBlue,#312a2b,Black,MidnightBlue,#372e2e,Black,MidnightBlue,#343237,Black,MidnightBlue,,,
Robe droite   Ecru, écru  ,#dbbba1,Silver,Tan,#ddc1ac,Silver,Silver,#eeeff3,White,Lavender,#e0c6ad,Silver,Silver,,,
Robe droite   Ecru, écru  ,#dbbba1,Silver,Tan,#ddc1ac,Silver,Silver,#eeeff3,White,Lavender,#e0c6ad,Silver,Silver,,,
Robe patineuse   Noir, noir  ,#322a2b,Black,MidnightBlue,#342d2f,Black,MidnightBlue,#2a2427,Black,Black,#322c2d,Black,MidnightBlue,,,
Robe patineuse   Noir, noir  ,#322a2b,Black,MidnightBlue,#342d2f,Black,MidnightBlue,#2a2427,Black,Black,#322c2d,Black,MidnightBlue,,,
Jupe motifs rouge à lèvres   Bleu marine, bleu marine,#e9c2ad,Silver,LightPink,#e6beaa,Silver,LightPink,#474772,Gray,DimGrey,#485289,Gray,DimGrey,,,
